"filename", "language", "Markdown", "TypeScript", "JSON with Comments", "TypeScript JSX", "JavaScript", "JSON", "XML", "CSS", "Prisma", "MS SQL", "comment", "blank", "total"
"c:\Users\Leon\Documents\school\jaar 2\semester 1\Software Development\projecten\project2425-groep-3-25\back-end\repository\prisma\migrations\20241215180235_added_role\migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1
"c:\Users\Leon\Documents\school\jaar 2\semester 1\Software Development\projecten\project2425-groep-3-25\back-end\repository\prisma\migrations\20241215181729_\migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7, 4, 14
"c:\Users\Leon\Documents\school\jaar 2\semester 1\Software Development\projecten\project2425-groep-3-25\back-end\repository\prisma\migrations\20241215181941_\migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7, 1, 10
"c:\Users\Leon\Documents\school\jaar 2\semester 1\Software Development\projecten\project2425-groep-3-25\back-end\repository\prisma\migrations\20241215182010_\migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1
"c:\Users\Leon\Documents\school\jaar 2\semester 1\Software Development\projecten\project2425-groep-3-25\back-end\repository\prisma\migrations\20241216131812_\migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 2, 16
"c:\Users\Leon\Documents\school\jaar 2\semester 1\Software Development\projecten\project2425-groep-3-25\back-end\repository\prisma\migrations\20241216131827_\migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1
"c:\Users\Leon\Documents\school\jaar 2\semester 1\Software Development\projecten\project2425-groep-3-25\back-end\repository\prisma\migrations\20241216170259_\migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 1, 9
"c:\Users\Leon\Documents\school\jaar 2\semester 1\Software Development\projecten\project2425-groep-3-25\back-end\repository\prisma\migrations\20241216170316_\migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1
"c:\Users\Leon\Documents\school\jaar 2\semester 1\Software Development\projecten\project2425-groep-3-25\back-end\repository\prisma\migrations\20241216170806_\migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9, 1, 13
"c:\Users\Leon\Documents\school\jaar 2\semester 1\Software Development\projecten\project2425-groep-3-25\back-end\repository\prisma\migrations\20241217113035_\migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9, 3, 15
"c:\Users\Leon\Documents\school\jaar 2\semester 1\Software Development\projecten\project2425-groep-3-25\back-end\repository\prisma\migrations\20241217113051_\migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1
"c:\Users\Leon\Documents\school\jaar 2\semester 1\Software Development\projecten\project2425-groep-3-25\back-end\repository\prisma\migrations\20241217123024_add_unique_to_category_name\migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 1, 9
"c:\Users\Leon\Documents\school\jaar 2\semester 1\Software Development\projecten\project2425-groep-3-25\back-end\repository\prisma\schema.prisma", "Prisma", 0, 0, 0, 0, 0, 0, 0, 0, 74, 0, 1, 14, 89
"c:\Users\Leon\Documents\school\jaar 2\semester 1\Software Development\projecten\project2425-groep-3-25\back-end\service\Category.service.ts", "TypeScript", 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 35
"c:\Users\Leon\Documents\school\jaar 2\semester 1\Software Development\projecten\project2425-groep-3-25\back-end\service\Company.service.ts", "TypeScript", 0, 103, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 119
